Country N Matches_Played Matches_W Matches_L Matches_Percent Sets_Played Sets_W Sets_L Results_3_0 Results_3_1 Results_3_2 Results_2_3 Results_1_3 Results_0_3
BRA 22 361 286 75 79.2 1324 917 407 144 99 43 24 27 24
ITA 22 346 247 99 71.4 1320 837 483 118 77 52 30 42 27
RUS 20 334 235 99 70.4 1247 801 446 118 79 38 30 39 30
SRB 14 212 133 79 62.7 822 487 335 60 48 25 34 22 24
CUB 21 319 198 121 62.1 1207 704 503 92 69 37 36 47 38
BUL 14 198 118 80 59.6 745 428 317 61 37 20 26 22 32
CZE 1 17 10 7 58.8 66 36 30 3 5 2 2 2 3
POL 14 188 104 84 55.3 733 382 351 35 39 30 20 30 34
NED 16 243 132 111 54.3 906 485 421 66 44 22 24 41 46
USA 14 204 102 102 50.0 778 387 391 37 45 20 19 43 40
FRA 16 209 96 113 45.9 825 387 438 30 33 33 30 42 41
ESP 11 143 54 89 37.8 560 230 330 13 15 26 17 33 39
FIN 7 92 32 60 34.8 346 134 212 10 12 10 10 18 32
ARG 13 167 55 112 32.9 650 275 375 25 15 15 32 47 33
GRE 9 131 43 88 32.8 492 182 310 11 18 14 16 21 51
GER 8 104 32 72 30.8 405 151 254 5 16 11 13 29 30 
CAN 5 64 18 46 28.1 241 83 158 5 6 7 4 21 21
CHN 14 180 44 136 24.4 660 212 448 16 16 12 22 36 78
POR 8 96 23 73 24.0 355 108 247 5 8 10 10 19 44
JPN 18 230 55 175 23.9 851 272 579 16 24 15 23 61 91
KOR 13 172 40 132 23.3 629 202 427 18 13 9 17 48 67
VEN 6 72 14 58 19.4 263 79 184 6 6 2 10 17 31
EGY 4 48 6 42 12.5 173 41 132 2 2 2 5 13 24
AUS 1 12 0 12 0.0 41 5 36 0 0 0 1 3 8
PUR 1 12 0 12 0.0 41 5 36 0 0 0 1 3 8
