Rank	Country	Points
1	BRA	152.50
2	USA	120
3	RUS	112.5
4	SRB	91.25
5	POL	89.25
6	BUL	78.75
7	ITA	76
8	CHN	59
9	CUB	56.25
10	ARG	49
11	JPN	47
12	FRA	45
13	VEN	40.5
14	EGY	38.25
15	PUR	31.75
16	KOR	31.5
17	GER	31.25
17	IRI	31.25
19	ALG	30.5
20	CAN	27
21	CMR	26
22	TUN	20.75
22	MAR	20.75
24	COL	19.75
25	KAZ	18.5
26	MEX	17.5
27	CHI	14.75
28	NED	13
28	INA	13
30	FIN	12.5
31	PER	11.5
32	AUS	11
33	DOM	10.75
34	GRE	10.25
35	LBA	10
36	CZE	8.75
37	ESP	8.25
37	RSA	8.25
39	TPE	8
40	PAN	7.75
41	BAR	7.25
42	POR	7
42	URU	7
44	BOT	6.25
45	TUR	5.75
46	IND	5.5
47	SVK	5.25
48	EST	5
49	THA	4.75
50	SLO	4.5
51	UKR	4.25
51	QAT	4.25
53	PHI	3.75
53	GAB	3.75
55	DEN	3.5
55	LAT	3.5
55	ROM	3.5
58	TRI	3.25
58	CRO	3.25
58	AUT	3.25
61	PAR	3
61	VIE	3
61	LIB	3
61	MYA	3
65	ALB	2.75
65	BLR	2.75
65	HUN	2.75
68	GUA	2.5
68	BEL	2.5
68	AZE	2.5
68	ISR	2.5
72	CGO	2.25
72	CRC	2.25
72	ENG	2.25
72	MLD	2.25
72	NOR	2.25
72	BIH	2.25
72	MDV	2.25
79	SUD	2
79	UAE	2
79	UZB	2
79	JAM	2
79	LCA	2
79	SRI	2
85	GHA	1.75
85	JOR	1.75
85	AHO	1.75
85	SKN	1.75
89	AFG	1.5
89	IVB	1.5
89	DMA	1.5
89	HON	1.5
89	MAC	1.5
89	MRI	1.5
89	OMA	1.5
89	SCO	1.5
89	UGA	1.5
98	AGU	1.25
98	CAY	1.25
98	ECU	1.25
98	ERT	1.25
98	NCA	1.25
98	NIR	1.25
98	TGA	1.25
105	LUX	1
105	GBR	1
105	SWE	1
105	MNE	1
105	CYP	1
105	MKD	1
105	HKG	1
112	RWA	0.75
112	MOZ	0.75
112	NGR	0.75
115	KEN	0
115	KSA	0
115	ZIM	0
115	PAK	0
115	KUW	0
115	BRN	0
115	NZL	0
115	ARU	0
