Country N Matches_Played Matches_W Matches_L Matches_Percent Sets_Played Sets_W Sets_L Results_3_0 Results_3_1 Results_3_2 Results_2_3 Results_1_3 Results_0_3
BRA 23 375 294 81 78.4 1399 966 433 148 102 44 28 28 25
ITA 23 358 252 106 70.4 1372 866 506 119 78 55 33 44 29
RUS 21 346 243 103 70.2 1308 833 475 120 80 43 31 42 30
CUB 22 335 210 125 62.7 1281 751 530 95 75 40 36 49 40
SRB 15 224 139 85 62.1 873 514 359 62 50 27 37 23 25
BUL 15 214 127 87 59.3 809 461 348 63 41 23 28 24 35
CZE 1 17 10 7 58.8 66 36 30 3 5 2 2 2 3
POL 15 204 118 86 57.8 793 427 366 43 42 33 21 31 34
NED 16 243 132 111 54.3 906 485 421 66 44 22 24 41 46
USA 15 220 113 107 51.4 838 425 413 43 48 22 21 44 42
FRA 17 221 105 116 47.5 876 419 457 32 37 36 30 44 42
ESP 11 143 54 89 37.8 560 230 330 13 15 26 17 33 39
GER 9 118 43 75 36.4 457 188 269 12 18 13 14 31 30
ARG 14 179 61 118 34.1 702 298 404 27 18 16 34 47 37
FIN 8 104 35 69 33.7 389 146 243 11 12 12 10 21 38
GRE 9 131 43 88 32.8 492 182 310 11 18 14 16 21 51
CAN 6 76 21 55 27.6 286 98 188 6 7 8 6 23 26
CHN 14 180 44 136 24.4 660 212 448 16 16 12 22 36 78
JPN 19 242 55 187 22.7 898 283 615 16 24 15 27 64 96
KOR 14 184 41 143 22.3 680 218 462 18 13 10 22 51 70
POR 9 108 23 85 21.3 398 115 283 5 8 10 11 24 50
VEN 6 72 14 58 19.4 263 79 184 6 6 2 10 17 31
EGY 4 48 6 42 12.5 173 41 132 2 2 2 5 13 24
AUS 1 12 0 12 0.0 41 5 36 0 0 0 1 3 8
PUR 1 12 0 12 0.0 41 5 36 0 0 0 1 3 8
