Rank	Country	Points
1	BRA	252.50
2	RUS	234.50
3	ITA	191.00
4	POL	182.00
5	CUB	160.25
6	USA	148.00
7	SRB	136.25
8	ARG	121.75
9	BUL	88.75
10	CHN	57.25
11	EGY	55.00
12	IRI	50.25
13	GER	46.50
14	CMR	45.25
15	JPN	41.00
16	VEN	40.75
17	PUR	38.50
18	CAN	37.25
18	TUN	37.25
20	KOR	36.50
21	FRA	35.75
22	AUS	33.50
23	MEX	33.00
23	CZE	30.00
25	ALG	26.25
26	SVK	25.25
27	FIN	24.75
27	COL	24.75
29	ESP	24.25
30	IND	19.75
31	CHI	18.75
32	MAR	17.00
33	TRI	16.25
34	POR	15.50
35	CGO	14.00
36	NED	12.75
36	EST	12.75
36	SLO	12.75
36	RSA	12.75
40	ROM	12.25
41	BEL	11.75
42	PAN	11.50
43	BOT	11.00
43	CRC	11.00
43	PAK	11.00
46	DOM	10.75
46	TUR	10.75
46	THA	10.75
49	KAZ	10.50
50	INA	10.00
51	URU	9.75
52	LCA	9.50
53	TPE	9.00
53	QAT	9.00
55	BAR	8.50
55	BAH	8.50
55	BLR	8.50
58	NGR	7.75
58	GUA	7.75
58	SUR	7.75
58	ISV	7.75
58	GRE	7.75
58	UKR	7.75
58	LAT	7.75
58	CRO	7.75
66	PAR	7.25
66	AUT	7.25
68	DEN	7.00
68	JAM	7.00
68	MNE	7.00
71	MRI	6.75
71	KEN	6.75
73	MOZ	6.25
73	ESA	6.25
75	UAE	6.00
75	ZIM	6.00
77	HON	5.50
77	NCA	5.50
77	ANT	5.50
77	ISR	5.50
77	MLD	5.50
77	BIH	5.50
77	SWE	5.50
84	ALB	5.25
84	AHO	5.25
84	OMA	5.25
84	TGA	5.25
84	NZL	5.25
84	BAN	5.25
84	HAI	5.25
91	SRI	5.00
92	SKN	4.75
92	DMA	4.75
92	AGU	4.75
92	VIN	4.75
92	GRN	4.75
92	BIZ	4.75
92	HUN	4.75
92	AZE	4.75
92	GBR	4.75
101	MDV	4.50
101	CAY	4.50
101	ARU	4.50
101	SAM	4.50
105	NOR	3.75
105	IVB	3.75
105	MAC	3.75
105	ECU	3.75
105	BOL	3.75
105	MAW	3.75
105	FIJ	3.75
105	BER	3.75
105	MTS	3.75
114	UZB	2.00
114	AFG	2.00
114	TKM	2.00
117	LUX	1.00
117	AHO	1.00
117	GEO	1.00
117	MKD	1.00
121	GAB	0.25
121	RWA	0.25
123	PER	0.00
123	LBA	0.00
123	VIE	0.00
123	LIB	0.00
123	MYA	0.00
123	PHI	0.00
123	CYP	0.00
123	HKG	0.00
123	ENG	0.00
123	SUD	0.00
123	GHA	0.00
123	JOR	0.00
123	SCO	0.00
123	UGA	0.00
123	ERT	0.00
123	NIR	0.00
123	KSA	0.00
123	KUW	0.00
123	BRN	0.00
