Game	Host	Date	Teams	Result	Set1	Set2	Set3	Set4	Set5	Points	Time	Audience
21	FRA	09-Jun-2013	FRA-BUL	0-3	24-26	29-31	20-25	NA	NA	73-82	1:40	2700
22	ITA	09-Jun-2013	ITA-GER	3-2	22-25	19-25	25-17	26-24	15-6	107-97	2:30	3719
23	NED	09-Jun-2013	NED-JPN	3-0	25-20	25-21	25-18	NA	NA	75-59	1:24	1600
24	POL	09-Jun-2013	POL-BRA	2-3	26-28	22-25	25-23	25-20	10-15	108-111	2:46	11012
25	RUS	14-Jun-2013	RUS-SRB	3-0	29-27	25-14	25-20	NA	NA	79-61	1:25	6260
26	ITA	14-Jun-2013	ITA-CUB	3-0	25-20	25-17	25-23	NA	NA	75-60	1:33	4998
27	ARG	14-Jun-2013	ARG-BRA	0-3	20-25	21-25	15-25	NA	NA	56-75	1:23	5600
28	USA	14-Jun-2013	USA-FRA	3-0	25-15	29-27	25-16	NA	NA	79-58	1:28	2781
29	CAN	14-Jun-2013	CAN-KOR	3-0	25-19	25-10	25-18	NA	NA	75-47	1:21	3000
30	JPN	15-Jun-2013	JPN-FIN	3-1	25-17	25-18	24-26	25-18	NA	99-79	2:00	2530
31	RUS	15-Jun-2013	RUS-SRB	3-2	25-23	24-26	22-25	25-18	15-8	111-100	2:21	6070
32	USA	15-Jun-2013	USA-FRA	3-2	22-25	25-22	24-26	30-28	15-9	116-110	2:31	3205
33	CAN	15-Jun-2013	CAN-KOR	3-0	25-23	25-20	25-20	NA	NA	75-63	1:27	3350
34	JPN	16-Jun-2013	JPN-FIN	3-1	23-25	25-21	25-19	25-22	NA	98-87	2:13	2850
35	ITA	16-Jun-2013	ITA-CUB	3-0	25-23	25-18	25-19	NA	NA	75-60	1:20	6000
36	ARG	15-Jun-2013	ARG-BRA	0-3	21-25	25-27	13-25	NA	NA	59-77	1:37	5800
37	RUS	21-Jun-2013	RUS-ITA	1-3	24-26	30-28	20-25	17-25	NA	91-104	2:15	6080
38	FRA	21-Jun-2013	FRA-POL	3-2	25-23	21-25	22-25	25-21	15-11	108-105	2:36	4900
39	RUS	22-Jun-2013	RUS-ITA	3-2	25-23	25-23	26-28	23-25	15-12	114-111	2:39	5280
40	BUL	22-Jun-2013	BUL-ARG	3-0	25-18	25-21	25-16	NA	NA	75-55	1:22	12500
41	GER	22-Jun-2013	GER-CUB	3-0	25-18	25-19	25-16	NA	NA	75-53	1:25	1500
42	NED	22-Jun-2013	NED-POR	2-3	21-25	25-19	25-23	26-28	13-15	110-110	2:38	2500
43	FRA	23-Jun-2013	FRA-POL	3-2	25-21	23-25	25-20	21-25	15-13	109-104	2:40	4000
44	BUL	23-Jun-2013	BUL-ARG	3-1	17-25	25-19	25-21	31-29	NA	98-94	2:02	12000
45	GER	23-Jun-2013	GER-CUB	3-1	25-23	25-22	24-26	25-23	NA	99-94	2:02	2200
46	NED	23-Jun-2013	NED-POR	3-0	36-34	25-23	25-22	NA	NA	86-79	1:44	2700
47	IRI	21-Jun-2013	IRI-SRB	2-3	24-26	23-25	25-17	25-14	16-18	113-100	2:19	12000
48	IRI	23-Jun-2013	IRI-SRB	3-2	25-20	24-26	23-25	25-22	15-12	112-105	2:24	12000
49	BRA	28-Jun-2013	BRA-FRA	3-2	25-20	25-19	22-25	21-25	15-12	108-101	2:20	8250
50	FIN	28-Jun-2013	FIN-CAN	1-3	13-25	25-22	21-25	20-25	NA	79-97	2:05	4220
51	POL	28-Jun-2013	POL-ARG	3-2	26-24	19-25	19-25	25-17	15-8	104-99	2:36	6701
52	ITA	28-Jun-2013	ITA-IRI	1-3	23-25	22-25	25-22	30-32	NA	100-104	2:13	3850
53	CUB	28-Jun-2013	CUB-RUS	0-3	20-25	23-25	23-25	NA	NA	66-75	1:28	5000
54	USA	28-Jun-2013	USA-BUL	3-0	25-19	25-22	25-21	NA	NA	75-62	1:25	3500
55	KOR	29-Jun-2013	KOR-NED	1-3	23-25	25-22	20-25	16-25	NA	84-97	1:52	3013
56	BRA	29-Jun-2013	BRA-FRA	1-3	27-29	25-23	22-25	19-25	NA	93-102	2:07	11000
57	FIN	29-Jun-2013	FIN-CAN	0-3	23-25	22-25	17-25	NA	NA	62-75	1:40	3950
58	GER	29-Jun-2013	SRB-GER	1-3	20-25	21-25	25-21	21-25	NA	87-96	1:59	4500
59	CUB	29-Jun-2013	CUB-RUS	3-1	25-23	20-25	25-20	25-22	NA	95-90	2:00	6000
60	USA	29-Jun-2013	USA-BUL	1-3	20-25	25-18	23-25	21-25	NA	89-93	1:45	4415
61	KOR	30-Jun-2013	KOR-NED	1-3	20-25	22-25	25-21	20-25	NA	87-96	1:50	3003
62	ITA	30-Jun-2013	ITA-IRI	3-2	25-22	25-20	20-25	18-25	15-13	103-105	2:16	4683
63	SRB	30-Jun-2013	SRB-GER	3-2	23-25	25-19	25-22	21-25	15-12	109-103	2:20	4600
64	POL	30-Jun-2013	POL-ARG	3-1	18-25	25-21	26-24	25-17	NA	94-87	2:09	11891
65	POR	29-Jun-2013	POR-JPN	3-1	25-22	20-25	26-24	25-15	NA	96-86	2:04	3050
66	POR	30-Jun-2013	POR-JPN	2-3	25-22	23-25	30-28	22-25	10-15	110-115	2:40	3095
67	BRA	05-Jul-2013	BRA-BUL	3-1	24-26	25-17	25-20	25-23	NA	99-86	1:56	10925
68	FIN	05-Jul-2013	FIN-NED	1-3	25-23	23-25	23-25	23-25	NA	94-98	2:05	3370
69	POL	05-Jul-2013	POL-USA	3-2	25-22	19-25	13-25	30-28	18-16	105-116	2:35	11000
70	GER	05-Jul-2013	GER-RUS	2-3	25-21	25-18	22-25	16-25	7-15	95-104	2:35	2600
71	ARG	06-Jul-2013	ARG-FRA	2-3	18-25	18-25	25-17	25-22	11-15	97-104	2:14	6930
72	CUB	05-Jul-2013	CUB-IRI	2-3	26-24	25-19	19-25	22-25	14-16	106-109	2:17	8000
73	JPN	06-Jul-2013	JPN-CAN	1-3	11-25	21-25	25-23	20-25	NA	77-98	2:02	2450
74	BRA	06-Jul-2013	BRA-BUL	3-1	19-25	25-21	25-17	25-19	NA	94-82	1:53	11500
75	FIN	06-Jul-2013	FIN-NED	3-1	25-19	26-24	20-25	25-20	NA	96-88	2:00	3260
76	SRB	06-Jul-2013	SRB-ITA	2-3	25-20	22-25	25-21	22-25	17-19	111-110	2:27	5800
77	GER	06-Jul-2013	GER-RUS	3-2	25-21	25-21	18-25	23-25	18-16	109-108	2:34	3000
78	CUB	06-Jul-2013	CUB-IRI	1-3	25-22	20-25	18-25	22-25	NA	85-97	1:51	8000
79	JPN	07-Jul-2013	JPN-CAN	2-3	23-25	25-23	27-25	18-25	7-15	100-113	2:22	3000
80	SRB	07-Jul-2013	SRB-ITA	3-1	28-26	17-25	25-23	25-19	NA	95-93	2:00	3800
81	POL	07-Jul-2013	POL-USA	3-1	25-23	17-25	25-21	25-23	NA	92-92	2:13	6000
82	ARG	07-Jul-2013	ARG-FRA	1-3	23-25	20-25	25-22	19-25	NA	87-97	1:53	6350
83	POR	06-Jul-2013	POR-KOR	1-3	18-25	25-22	23-25	21-25	NA	87-97	2:02	780
84	POR	07-Jul-2013	POR-KOR	1-3	32-34	23-25	25-21	26-28	NA	106-108	2:23	825
85	BRA	13-Jul-2013	BRA-USA	3-1	25-22	25-18	20-25	28-26	NA	98-91	2:11	11600
86	BUL	12-Jul-2013	BUL-POL	3-0	25-21	25-21	25-21	NA	NA	75-63	1:28	5600
87	BRA	14-Jul-2013	BRA-USA	3-0	25-21	26-24	25-23	NA	NA	76-68	1:40	11988
88	BUL	13-Jul-2013	BUL-POL	3-2	20-25	23-25	25-21	25-21	19-17	112-109	2:19	5600
89	IRI	12-Jul-2013	IRI-GER	3-0	25-19	25-18	25-20	NA	NA	75-57	1:23	12000
90	IRI	13-Jul-2013	IRI-GER	0-3	21-25	23-25	22-25	NA	NA	66-75	0:29	12000
91	ARG	17-Jul-2013	BRA-RUS	2-3	17-25	25-23	25-22	19-25	11-15	97-110	2:16	2800
92	ARG	17-Jul-2013	ARG-BUL	1-3	26-28	23-25	25-20	23-25	NA	97-98	2:02	5000
93	ARG	18-Jul-2013	RUS-CAN	2-3	25-20	25-21	23-25	21-25	11-15	105-106	2:19	1800
94	ARG	18-Jul-2013	BUL-ITA	1-3	18-25	25-18	22-25	24-26	NA	89-94	1:53	1800
95	ARG	19-Jul-2013	CAN-BRA	0-3	18-25	28-30	20-25	NA	NA	66-80	1:40	3150
96	ARG	19-Jul-2013	ITA-ARG	3-1	25-20	23-25	25-17	25-22	NA	98-84	1:46	5300
97	ARG	20-Jul-2013	ITA-RUS	1-3	12-25	23-25	26-24	20-25	NA	81-99	2:04	3000
98	ARG	20-Jul-2013	BRA-BUL	3-1	25-12	25-17	23-25	25-16	NA	98-70	1:58	3100
99	ARG	21-Jul-2013	ITA-BUL	3-2	21-25	25-21	25-20	21-25	15-7	107-98	2:16	2800
100	ARG	21-Jul-2013	RUS-BRA	3-0	25-23	25-19	25-19	NA	NA	75-61	1:37	4500
