Game	Host	Date	Teams	Result	Set1	Set2	Set3	Set4	Set5	Points	Time	Audience
1	NED	24-Aug-2013	NED-DOM	3-0	25-22	25-22	25-21	NA	NA	75-65	1:17	375
2	NED	25-Aug-2013	NED-DOM	3-2	25-27	25-21	24-26	30-28	16-14	120-116	2:07	520
3	EGY	31-Aug-2013	EGY-IRI	0-3	31-33	22-25	19-25	NA	NA	72-83	1:30	700
4	EGY	02-Sep-2013	EGY-IRI	1-3	12-25	30-28	17-25	22-25	NA	81-103	2:00	600
5	NED	01-Sep-2013	NED-POR	3-2	26-24	25-23	24-26	22-25	20-18	117-116	2:15	615
6	NED	02-Sep-2013	NED-POR	3-2	20-25	25-23	17-25	25-21	15-13	102-107	2:06	867
7	IRI	07-Sep-2013	IRI-JPN	3-0	25-19	25-14	25-23	NA	NA	75-56	1:19	15576
8	IRI	09-Sep-2013	IRI-JPN	3-0	25-16	25-17	25-21	NA	NA	75-54	1:17	15160
1	FIN	31-May-2013	FIN-POR	3-0	25-13	29-27	25-18	NA	NA	79-58	1:38	2580
2	CAN	31-May-2013	CAN-NED	3-1	25-22	22-25	27-25	27-25	NA	101-97	2:11	4200
3	KOR	01-Jun-2013	KOR-JPN	3-1	25-22	25-20	21-25	25-19	NA	96-86	2:07	5100
4	FIN	01-Jun-2013	FIN-POR	2-3	25-23	23-25	23-25	25-23	12-15	108-111	2:32	2350
5	CAN	01-Jun-2013	CAN-NED	1-3	22-25	17-25	25-20	23-25	NA	87-95	1:53	4000
6	KOR	02-Jun-2013	KOR-JPN	3-1	25-21	25-23	11-25	25-22	NA	86-91	1:55	5200
7	RUS	07-Jun-2013	RUS-IRI	3-0	25-21	25-22	25-17	NA	NA	75-60	1:35	2930
8	POL	07-Jun-2013	POL-BRA	1-3	22-25	20-25	25-22	15-25	NA	82-97	2:16	4904
9	FRA	07-Jun-2013	FRA-BUL	2-3	21-25	25-14	25-21	22-25	11-15	104-100	2:17	4500
10	ITA	07-Jun-2013	ITA-GER	3-0	25-15	25-23	25-21	NA	NA	75-59	1:34	3623
11	CAN	07-Jun-2013	CAN-POR	3-0	25-19	25-19	25-18	NA	NA	75-56	1:26	1900
12	USA	07-Jun-2013	USA-ARG	1-3	18-25	21-25	25-22	24-26	NA	88-98	1:57	3800
13	CUB	07-Jun-2013	CUB-SRB	1-3	17-25	21-25	25-21	20-25	NA	83-96	1:53	14000
14	KOR	08-Jun-2013	KOR-FIN	0-3	23-25	23-25	20-25	NA	NA	66-75	1:30	4100
15	RUS	08-Jun-2013	RUS-IRI	3-1	25-23	25-22	17-25	25-18	NA	92-88	1:58	3310
16	NED	08-Jun-2013	NED-JPN	3-1	18-25	25-20	25-22	25-17	NA	93-84	2:00	1800
17	USA	08-Jun-2013	USA-ARG	3-1	22-25	27-25	25-19	25-16	NA	99-85	1:58	3300
18	CAN	08-Jun-2013	CAN-POR	1-3	19-25	25-20	18-25	23-25	NA	85-95	2:02	2200
19	CUB	08-Jun-2013	CUB-SRB	1-3	24-26	22-25	25-18	21-25	NA	92-94	1:53	10000
20	KOR	09-Jun-2013	KOR-FIN	2-3	25-23	18-25	24-26	25-15	14-16	106-105	2:18	4200
