Game	Host	Date	Teams	Result	Set1	Set2	Set3	Set4	Set5	Points	Time	Audience
1	RUS	27-May-2011	RUS-JPN	3-0	25-22	25-20	25-18	NA	NA	75-60	1:23	4794
2	POL	27-May-2011	POL-USA	3-0	25-20	25-22	25-19	NA	NA	75-61	1:41	8100
3	PUR	27-May-2011	PUR-BRA	0-3	15-25	19-25	16-25	NA	NA	50-75	1:19	2800
4	FRA	27-May-2011	FRA-ITA	0-3	14-25	20-25	12-25	NA	NA	46-75	1:21	5022
5	KOR	28-May-2011	KOR-CUB	3-0	25-20	29-27	25-18	NA	NA	79-65	1:25	3100
6	RUS	28-May-2011	RUS-JPN	3-1	22-25	25-19	25-12	25-12	NA	97-68	1:47	4257
7	POL	28-May-2011	POL-USA	0-3	22-25	19-25	35-37	NA	NA	76-87	1:50	9178
8	BUL	28-May-2011	BUL-GER	2-3	25-21	18-25	21-25	25-15	10-15	99-101	2:10	2950
9	ARG	28-May-2011	ARG-SRB	0-3	14-25	21-25	22-25	NA	NA	57-75	1:19	5600
10	PUR	28-May-2011	PUR-BRA	0-3	19-25	29-31	23-25	NA	NA	71-81	1:36	6436
11	KOR	29-May-2011	KOR-CUB	1-3	25-21	23-25	18-25	18-25	NA	84-96	1:42	3400
12	BUL	29-May-2011	BUL-GER	3-2	25-21	23-25	25-22	20-25	15-9	108-102	2:19	2500
13	FRA	29-May-2011	FRA-ITA	0-3	15-25	23-25	25-27	NA	NA	63-77	1:33	3650
14	ARG	29-May-2011	ARG-SRB	3-0	25-21	26-24	25-20	NA	NA	76-65	1:27	4850
15	POR	28-May-2011	POR-FIN	3-2	23-25	27-25	25-21	24-26	15-13	114-110	2:27	2000
16	POR	29-May-2011	POR-FIN	3-1	25-18	23-25	25-21	25-23	NA	98-87	1:59	2160
17	ITA	02-Jun-2011	ITA-CUB	3-0	25-19	25-21	27-25	NA	NA	77-65	1:26	6148
18	RUS	03-Jun-2011	RUS-GER	3-0	29-27	25-23	25-23	NA	NA	79-73	1:33	6435
19	SRB	03-Jun-2011	SRB-FIN	1-3	27-25	24-26	20-25	25-27	NA	96-103	2:02	1120
