Game	Host	Date	Teams	Result	Set1	Set2	Set3	Set4	Set5	Points	Time	Audience
20	PUR	03-Jun-2011	PUR-USA	1-3	26-24	27-29	17-25	17-25	NA	87-103	1:57	4132
21	KOR	04-Jun-2011	KOR-FRA	3-1	25-21	24-26	25-20	25-16	NA	99-83	1:55	3050
22	BRA	04-Jun-2011	BRA-POL	3-0	25-23	26-24	25-21	NA	NA	76-68	1:36	9524
23	RUS	04-Jun-2011	RUS-GER	3-0	25-23	25-15	25-22	NA	NA	75-60	1:20	3823
24	BUL	04-Jun-2011	BUL-JPN	3-1	22-25	25-21	25-16	25-20	NA	97-82	1:55	3000
25	PUR	04-Jun-2011	PUR-USA	1-3	23-25	24-26	25-22	12-25	NA	84-98	2:02	4512
26	KOR	05-Jun-2011	KOR-FRA	3-1	27-25	19-25	25-23	25-16	NA	96-89	1:56	4250
27	BRA	05-Jun-2011	BRA-POL	3-1	28-26	23-25	26-24	25-23	NA	102-98	2:20	9988
28	BUL	05-Jun-2011	BUL-JPN	3-0	25-14	25-17	25-19	NA	NA	75-50	1:20	3050
29	ITA	05-Jun-2011	ITA-CUB	3-2	25-14	23-25	25-17	22-25	18-16	113-97	2:15	5200
30	SRB	04-Jun-2011	SRB-FIN	3-0	25-21	25-15	25-21	NA	NA	75-57	1:17	1750
31	POR	03-Jun-2011	POR-ARG	0-3	21-25	20-25	19-25	NA	NA	60-75	1:18	3185
32	POR	04-Jun-2011	POR-ARG	1-3	23-25	21-25	25-14	22-25	NA	91-89	1:42	3091
33	FRA	09-Jun-2011	FRA-CUB	1-3	27-29	27-25	23-25	31-33	NA	108-112	2:12	3100
34	RUS	10-Jun-2011	RUS-BUL	3-0	25-15	25-20	25-18	NA	NA	75-53	1:22	5450
35	FIN	10-Jun-2011	FIN-ARG	2-3	17-25	25-21	20-25	25-23	10-15	97-109	2:37	5120
36	SRB	10-Jun-2011	SRB-POR	2-3	22-25	25-19	26-28	25-23	13-15	111-110	2:08	2650
37	PUR	10-Jun-2011	PUR-POL	0-3	21-25	23-25	14-25	NA	NA	58-75	1:19	4132
38	KOR	11-Jun-2011	KOR-ITA	1-3	25-23	19-25	21-25	20-25	NA	85-98	2:00	3350
39	GER	11-Jun-2011	GER-JPN	3-2	20-25	23-25	25-23	25-11	18-16	111-100	2:19	2000
40	RUS	11-Jun-2011	RUS-BUL	3-0	25-14	27-25	25-20	NA	NA	77-59	1:30	5350
41	BRA	11-Jun-2011	BRA-USA	3-1	19-25	25-21	25-19	25-21	NA	94-86	1:57	14800
42	FIN	11-Jun-2011	FIN-ARG	0-3	21-25	24-26	19-25	NA	NA	64-76	1:39	5509
43	SRB	11-Jun-2011	SRB-POR	3-0	26-24	25-18	29-27	NA	NA	80-69	1:29	3100
44	FRA	11-Jun-2011	FRA-CUB	2-3	25-23	21-25	25-22	22-25	9-15	102-110	2:12	3700
45	PUR	11-Jun-2011	PUR-POL	0-3	22-25	15-25	21-25	NA	NA	58-75	1:27	3728
46	KOR	12-Jun-2011	KOR-ITA	2-3	15-25	22-25	25-21	25-22	10-15	97-108	2:13	3450
47	GER	12-Jun-2011	GER-JPN	2-3	21-25	22-25	29-27	25-19	14-16	111-112	2:32	1500
48	BRA	12-Jun-2011	BRA-USA	1-3	21-25	22-25	25-16	24-26	NA	92-92	2:07	17836
49	FIN	17-Jun-2011	FIN-SRB	2-3	20-25	25-23	17-25	36-34	11-15	109-122	2:23	3050
50	ITA	17-Jun-2011	ITA-FRA	1-3	25-21	30-32	23-25	22-25	NA	100-103	2:11	3600
51	KOR	18-Jun-2011	KOR-CUB	0-3	20-25	22-25	20-25	NA	NA	62-75	1:20	4320
52	RUS	18-Jun-2011	RUS-JPN	3-0	25-22	25-15	25-20	NA	NA	75-57	1:16	5660
53	BRA	18-Jun-2011	BRA-PUR	3-0	25-20	25-10	25-23	NA	NA	75-53	1:19	10875
54	FIN	18-Jun-2011	FIN-SRB	3-2	25-23	25-23	22-25	20-25	15-11	107-107	2:20	3250
55	GER	18-Jun-2011	GER-BUL	3-2	25-18	25-21	18-25	18-25	15-13	101-102	2:19	1300
56	ARG	18-Jun-2011	ARG-POR	3-1	25-16	25-17	22-25	26-24	NA	98-82	14:01	6500
57	USA	17-Jun-2011	USA-POL	0-3	22-25	19-25	20-25	NA	NA	61-75	1:38	4700
58	KOR	19-Jun-2011	KOR-CUB	0-3	23-25	13-25	18-25	NA	NA	54-75	1:18	4260
59	RUS	19-Jun-2011	RUS-JPN	3-0	25-15	25-18	25-21	NA	NA	75-54	1:16	5130
60	BRA	19-Jun-2011	BRA-PUR	3-0	25-10	25-20	25-20	NA	NA	75-50	1:18	10915
61	GER	19-Jun-2011	GER-BUL	1-3	24-26	22-25	25-20	23-25	NA	94-96	2:10	1800
62	ITA	18-Jun-2011	ITA-FRA	3-1	25-20	18-25	25-22	25-17	NA	93-84	1:53	4500
63	ARG	19-Jun-2011	ARG-POR	3-0	25-19	25-18	25-17	NA	NA	75-54	1:24	6500
64	USA	18-Jun-2011	USA-POL	3-1	25-21	15-25	25-18	25-22	NA	90-86	2:10	6000
65	GER	23-Jun-2011	GER-RUS	2-3	14-25	25-22	25-21	23-25	7-15	94-108	2:15	3751
66	ARG	23-Jun-2011	ARG-FIN	3-2	21-25	25-17	19-25	26-24	15-11	106-102	2:16	5000
67	GER	24-Jun-2011	GER-RUS	1-3	29-27	20-25	17-25	26-28	NA	92-105	2:09	3750
68	ITA	24-Jun-2011	ITA-KOR	3-0	25-18	25-21	25-20	NA	NA	75-59	1:23	3800
69	POL	24-Jun-2011	POL-PUR	3-1	24-26	28-26	25-22	25-17	NA	102-91	2:12	5500
70	FRA	24-Jun-2011	FRA-CUB	2-3	25-21	22-25	25-21	22-25	12-15	106-107	2:22	6600
71	ARG	24-Jun-2011	ARG-FIN	1-3	14-25	17-25	25-23	26-28	NA	82-101	1:59	5600
72	USA	24-Jun-2011	USA-BRA	1-3	21-25	20-25	25-21	19-25	NA	85-96	2:01	4000
73	BUL	25-Jun-2011	BUL-JPN	3-0	25-20	25-21	25-23	NA	NA	75-64	1:24	4000
74	POL	25-Jun-2011	POL-PUR	3-0	25-19	25-22	25-20	NA	NA	75-61	1:34	4711
75	USA	25-Jun-2011	USA-BRA	3-1	25-20	25-23	22-25	25-23	NA	97-91	2:06	3500
76	BUL	26-Jun-2011	BUL-JPN	3-2	25-21	20-25	25-13	21-25	15-10	106-94	2:08	4100
77	FRA	26-Jun-2011	FRA-CUB	1-3	25-21	20-25	15-25	23-25	NA	83-96	1:53	4900
78	ITA	26-Jun-2011	ITA-KOR	3-0	25-15	25-13	25-21	NA	NA	75-49	1:18	4200
79	POR	25-Jun-2011	POR-SRB	2-3	21-25	25-19	31-29	17-25	11-15	105-113	2:01	2573
80	POR	26-Jun-2011	POR-SRB	1-3	14-25	27-25	19-25	22-25	NA	82-100	1:53	2015
81	SRB	29-Jun-2011	SRB-ARG	3-1	25-18	23-25	25-18	25-22	NA	98-83	1:50	7100
82	ITA	29-Jun-2011	ITA-CUB	3-0	25-21	25-22	32-30	NA	NA	82-73	1:33	4000
83	POL	29-Jun-2011	POL-BRA	1-3	23-25	25-18	16-25	24-26	NA	88-94	2:01	11000
84	FRA	29-Jun-2011	FRA-KOR	3-1	23-25	27-25	25-16	25-15	NA	100-81	2:06	3700
85	FIN	30-Jun-2011	FIN-POR	3-2	22-25	16-25	25-19	25-17	15-13	103-99	2:17	2850
86	BUL	30-Jun-2011	BUL-RUS	3-1	25-22	18-25	30-28	25-20	NA	98-95	2:08	5950
87	GER	30-Jun-2011	GER-JPN	3-1	22-25	25-21	25-20	25-21	NA	97-87	2:00	2100
88	SRB	30-Jun-2011	SRB-ARG	0-3	23-25	25-27	21-25	NA	NA	69-77	1:28	7200
89	POL	30-Jun-2011	POL-BRA	0-3	17-25	14-25	21-25	NA	NA	52-75	1:19	11000
90	FIN	01-Jul-2011	FIN-POR	3-0	25-21	25-21	25-22	NA	NA	75-64	1:33	3200
91	BUL	01-Jul-2011	BUL-RUS	2-3	14-25	25-23	13-25	25-22	12-15	89-110	2:17	5990
92	GER	01-Jul-2011	GER-JPN	3-0	25-14	25-22	25-20	NA	NA	75-56	1:22	3000
93	ITA	01-Jul-2011	ITA-CUB	0-3	21-25	20-25	25-27	NA	NA	66-77	1:27	4816
94	FRA	01-Jul-2011	FRA-KOR	3-0	25-20	25-18	25-22	NA	NA	75-60	1:20	3100
95	USA	01-Jul-2011	USA-PUR	3-2	25-27	25-22	25-12	25-27	15-8	115-96	2:21	3000
96	USA	02-Jul-2011	USA-PUR	3-0	25-13	25-22	25-19	NA	NA	75-54	1:26	3100
97	POL	06-Jul-2011	RUS-USA	3-1	29-31	25-16	25-21	25-22	NA	104-90	2:01	2284
98	POL	06-Jul-2011	BRA-CUB	3-2	18-25	21-25	25-16	30-28	15-12	109-106	2:11	3900
99	POL	06-Jul-2011	ARG-ITA	3-1	20-25	25-20	25-22	25-22	NA	95-89	1:53	4391
100	POL	06-Jul-2011	POL-BUL	3-2	25-20	23-25	14-25	25-22	15-13	102-105	2:29	7283
101	POL	07-Jul-2011	CUB-RUS	0-3	20-25	20-25	20-25	NA	NA	60-75	1:21	2737
102	POL	07-Jul-2011	USA-BRA	1-3	25-15	22-25	22-25	15-25	NA	84-90	1:56	3480
103	POL	07-Jul-2011	BUL-ARG	0-3	17-25	22-25	22-25	NA	NA	61-75	1:23	4524
104	POL	07-Jul-2011	ITA-POL	3-0	25-15	25-20	25-20	NA	NA	75-55	1:23	9173
105	POL	08-Jul-2011	USA-CUB	3-2	23-25	25-21	25-18	21-25	15-13	109-102	2:13	3445
106	POL	08-Jul-2011	BRA-RUS	0-3	20-25	20-25	17-25	NA	NA	57-75	1:18	4534
107	POL	08-Jul-2011	ITA-BUL	0-3	22-25	22-25	21-25	NA	NA	65-75	1:32	6493
108	POL	08-Jul-2011	POL-ARG	3-2	18-25	25-22	25-20	24-26	15-13	107-106	2:23	8991
109	POL	09-Jul-2011	ARG-BRA	0-3	22-25	40-42	23-25	NA	NA	85-92	1:48	7489
110	POL	09-Jul-2011	RUS-POL	3-1	25-22	25-23	22-25	25-17	NA	97-87	2:15	10020
111	POL	10-Jul-2011	ARG-POL	0-3	18-25	23-25	22-25	NA	NA	63-75	1:31	10000
112	POL	10-Jul-2011	BRA-RUS	2-3	25-23	25-27	23-25	25-22	11-15	109-112	2:23	10200
