Game	Host	Date	Teams	Result	Set1	Set2	Set3	Set4	Set5	Points	Time	Audience
28	IRI	20-Jun-2014	IRI-ITA	3-0	25-18	25-20	25-15	NA	NA	75-53	1:41	12000
29	POL	20-Jun-2014	POL-BRA	3-1	25-20	25-21	28-30	25-20	NA	103-91	2:15	15250
30	USA	20-Jun-2014	USA-BUL	3-1	20-25	25-22	25-16	25-16	NA	95-79	1:54	2550
31	RUS	21-Jun-2014	RUS-SRB	3-0	25-19	27-25	25-20	NA	NA	77-64	1:37	5150
32	USA	21-Jun-2014	USA-BUL	2-3	24-26	17-25	25-14	25-13	12-15	103-93	2:16	4200
33	IRI	22-Jun-2014	IRI-ITA	3-1	25-22	25-19	19-25	25-20	NA	94-86	2:13	12000
34	POL	22-Jun-2014	POL-BRA	0-3	21-25	16-25	17-25	NA	NA	54-75	1:37	8060
35	RUS	27-Jun-2014	RUS-USA	2-3	18-25	19-25	27-25	25-19	19-21	108-115	2:43	7000
36	IRI	27-Jun-2014	IRI-POL	3-1	23-25	25-16	25-11	25-19	NA	98-71	2:01	12000
37	SRB	27-Jun-2014	SRB-BUL	3-0	25-21	25-18	25-19	NA	NA	75-58	1:26	4800
38	RUS	28-Jun-2014	RUS-USA	3-0	25-21	25-19	25-21	NA	NA	75-61	1:39	7000
39	IRI	29-Jun-2014	IRI-POL	3-0	25-22	25-20	25-22	NA	NA	75-64	1:41	12000
40	SRB	29-Jun-2014	SRB-BUL	3-0	25-23	25-21	25-14	NA	NA	75-58	1:23	4600
41	ITA	03-Jul-2014	ITA-BRA	1-3	16-25	25-21	19-25	19-25	NA	79-96	2:02	8100
42	SRB	04-Jul-2014	SRB-USA	3-0	25-21	25-20	25-17	NA	NA	75-58	1:30	6200
43	POL	04-Jul-2014	POL-IRI	3-1	17-25	26-24	25-23	25-23	NA	93-95	2:29	6200
44	BUL	05-Jul-2014	BUL-RUS	1-3	22-25	23-25	25-22	20-25	NA	90-97	2:19	5950
45	POL	05-Jul-2014	POL-IRI	3-0	25-23	25-20	25-17	NA	NA	75-60	1:41	6800
46	ITA	06-Jul-2014	ITA-BRA	1-3	25-27	25-18	17-25	16-25	NA	83-95	2:05	12056
47	BUL	06-Jul-2014	BUL-RUS	0-3	14-25	17-25	15-25	NA	NA	46-75	1:16	4975
48	SRB	06-Jul-2014	SRB-USA	1-3	21-25	25-20	25-27	20-25	NA	91-97	2:10	7600
49	ITA	16-Jul-2014	IRI-RUS	2-3	25-18	18-25	21-25	37-35	8-15	109-118	2:38	3700
50	ITA	16-Jul-2014	ITA-USA	3-0	25-22	25-21	26-24	NA	NA	76-67	1:36	5500
51	ITA	17-Jul-2014	RUS-BRA	1-3	24-26	25-22	23-25	22-25	NA	94-98	2:05	2600
52	ITA	17-Jul-2014	USA-AUS	3-1	22-25	25-18	25-23	25-19	NA	97-85	1:51	1300
53	ITA	18-Jul-2014	BRA-IRI	1-3	21-25	19-25	25-23	26-28	NA	91-101	2:05	5600
54	ITA	18-Jul-2014	AUS-ITA	0-3	14-25	22-25	21-25	NA	NA	57-75	1:17	7100
55	ITA	19-Jul-2014	IRI-USA	0-3	18-25	22-25	16-25	NA	NA	56-75	1:24	6700
56	ITA	19-Jul-2014	ITA-BRA	0-3	11-25	23-25	20-25	NA	NA	54-75	1:23	8000
57	ITA	20-Jul-2014	IRI-ITA	0-3	22-25	18-25	22-25	NA	NA	62-75	1:30	9000
58	ITA	20-Jul-2014	USA-BRA	3-1	31-29	21-25	25-20	25-23	NA	102-97	2:15	9000
1	BEL	23-May-2014	BEL-AUS	3-0	30-28	25-19	25-21	NA	NA	80-68	1:29	3250
2	GER	23-May-2014	GER-JPN	3-0	28-26	25-19	25-16	NA	NA	78-61	1:37	1500
3	GER	24-May-2014	GER-JPN	3-2	25-23	25-21	27-29	23-25	15-9	115-107	2:45	1150
4	ARG	24-May-2014	ARG-FRA	2-3	25-20	20-25	25-21	22-25	12-15	104-106	2:16	5000
5	BEL	25-May-2014	BEL-AUS	3-1	23-25	26-24	25-23	25-16	NA	99-88	1:47	3900
6	ARG	25-May-2014	ARG-FRA	0-3	24-26	18-25	22-25	NA	NA	64-76	1:26	4500
7	FRA	31-May-2014	FRA-JPN	3-0	25-16	25-18	25-21	NA	NA	75-55	1:18	2550
8	NED	31-May-2014	NED-KOR	3-0	25-19	28-26	25-23	NA	NA	78-68	1:38	1300
9	POR	31-May-2014	POR-CZE	3-1	25-23	19-25	25-18	25-20	NA	94-86	1:54	2200
10	ARG	31-May-2014	ARG-GER	3-0	25-22	25-23	25-21	NA	NA	75-66	1:38	6000
11	CAN	31-May-2014	CAN-FIN	3-0	25-21	25-19	25-20	NA	NA	75-60	1:24	2850
12	NED	01-Jun-2014	NED-KOR	1-3	18-25	23-25	25-20	22-25	NA	88-95	1:53	1700
13	POR	01-Jun-2014	POR-CZE	0-3	23-25	18-25	22-25	NA	NA	63-75	1:25	3550
14	ARG	01-Jun-2014	ARG-GER	2-3	25-20	25-20	20-25	16-25	13-15	99-105	2:22	3958
15	CAN	01-Jun-2014	CAN-FIN	3-2	19-25	25-21	25-18	23-25	15-11	107-100	2:14	2335
16	FRA	01-Jun-2014	FRA-JPN	3-0	25-14	25-15	25-21	NA	NA	75-50	1:17	2220
17	CZE	05-Jun-2014	CZE-KOR	3-2	31-33	25-19	26-24	26-28	20-18	128-122	2:23	3100
18	CZE	06-Jun-2014	CZE-KOR	3-2	25-20	23-25	19-25	25-21	15-11	107-102	1:58	3000
19	BEL	06-Jun-2014	BEL-CAN	2-3	25-22	21-25	17-25	25-20	14-16	102-108	2:34	4200
20	ARG	06-Jun-2014	ARG-JPN	3-1	20-25	26-24	25-19	25-23	NA	96-91	2:11	3500
21	GER	07-Jun-2014	GER-FRA	0-3	19-25	16-25	22-25	NA	NA	57-75	1:24	2500
22	AUS	07-Jun-2014	AUS-FIN	3-2	24-26	25-22	24-26	25-20	15-12	113-106	2:17	4200
23	NED	07-Jun-2014	NED-POR	3-2	25-21	25-13	19-25	18-25	16-14	103-98	2:00	950
24	GER	08-Jun-2014	GER-FRA	1-3	25-19	23-25	20-25	30-32	NA	98-101	2:07	2500
25	AUS	08-Jun-2014	AUS-FIN	2-3	28-30	25-19	25-17	21-25	9-15	108-106	2:23	2900
26	NED	08-Jun-2014	NED-POR	2-3	22-25	25-21	23-25	25-21	10-15	105-107	2:20	1150
27	BEL	08-Jun-2014	BEL-CAN	3-1	33-31	25-12	21-25	25-23	NA	104-91	2:33	4000
28	ARG	08-Jun-2014	ARG-JPN	3-0	25-22	26-24	25-15	NA	NA	76-61	1:36	4200
29	CZE	13-Jun-2014	CZE-NED	2-3	25-19	25-13	18-25	17-25	14-16	99-98	1:50	2050
30	FRA	13-Jun-2014	FRA-GER	1-3	28-26	15-25	21-25	18-25	NA	82-101	1:59	3953
31	CAN	13-Jun-2014	CAN-BEL	3-0	25-15	25-21	25-21	NA	NA	75-57	1:17	2635
32	JPN	14-Jun-2014	JPN-ARG	0-3	21-25	20-25	15-25	NA	NA	56-75	1:21	2900
33	KOR	14-Jun-2014	KOR-POR	1-3	21-25	18-25	25-15	20-25	NA	84-90	1:50	3328
34	FIN	14-Jun-2014	FIN-AUS	1-3	16-25	21-25	26-24	27-29	NA	90-103	2:03	2950
35	CZE	14-Jun-2014	CZE-NED	1-3	21-25	15-25	26-24	13-25	NA	75-99	1:41	2300
36	CAN	14-Jun-2014	CAN-BEL	1-3	25-22	18-25	21-25	19-25	NA	83-97	1:52	2400
37	JPN	15-Jun-2014	JPN-ARG	1-3	21-25	19-25	25-23	17-25	NA	82-98	1:53	2400
38	KOR	15-Jun-2014	KOR-POR	0-3	20-25	23-25	18-25	NA	NA	61-75	1:24	4100
39	FIN	15-Jun-2014	FIN-AUS	3-1	25-16	23-25	26-24	25-19	NA	99-84	2:01	2470
40	FRA	15-Jun-2014	FRA-GER	3-0	25-18	25-20	25-20	NA	NA	75-58	1:20	3500
41	BEL	20-Jun-2014	BEL-FIN	3-1	25-21	25-16	22-25	25-21	NA	97-83	1:40	4581
42	GER	20-Jun-2014	GER-ARG	0-3	24-26	23-25	20-25	NA	NA	67-76	1:41	1100
43	CAN	20-Jun-2014	CAN-AUS	2-3	27-25	25-20	28-30	17-25	13-15	110-115	2:18	3500
44	JPN	21-Jun-2014	JPN-FRA	0-3	23-25	18-25	16-25	NA	NA	57-75	1:19	2650
45	KOR	21-Jun-2014	KOR-CZE	2-3	17-25	25-18	27-29	25-23	11-15	105-110	2:15	3550
46	POR	21-Jun-2014	POR-NED	0-3	16-25	23-25	22-25	NA	NA	61-75	1:28	3400
47	GER	21-Jun-2014	GER-ARG	0-3	16-25	19-25	21-25	NA	NA	56-75	1:26	1200
48	CAN	21-Jun-2014	CAN-AUS	3-1	27-25	25-19	23-25	25-18	NA	100-87	1:58	4000
49	JPN	22-Jun-2014	JPN-FRA	1-3	16-25	25-19	25-27	18-25	NA	84-96	1:50	1900
50	KOR	22-Jun-2014	KOR-CZE	3-0	25-16	25-23	27-25	NA	NA	77-64	1:30	4150
51	BEL	22-Jun-2014	BEL-FIN	2-3	16-25	20-25	27-25	25-22	10-15	98-112	2:25	3200
52	POR	22-Jun-2014	POR-NED	3-1	25-20	28-26	21-25	25-18	NA	99-89	2:03	3200
53	AUS	27-Jun-2014	AUS-BEL	1-3	16-25	21-25	25-18	20-25	NA	82-93	1:59	4400
54	FIN	27-Jun-2014	FIN-CAN	3-0	25-18	25-17	26-24	NA	NA	76-59	1:34	2930
55	CZE	27-Jun-2014	CZE-POR	3-2	18-25	23-25	25-23	25-23	15-11	106-107	2:13	2250
56	FRA	27-Jun-2014	FRA-ARG	2-3	20-25	25-19	25-17	20-25	13-15	103-101	2:05	3150
57	JPN	28-Jun-2014	JPN-GER	0-3	16-25	17-25	27-29	NA	NA	60-79	1:26	1910
58	AUS	28-Jun-2014	AUS-BEL	0-3	20-25	17-25	19-25	NA	NA	56-75	1:16	4100
59	FIN	28-Jun-2014	FIN-CAN	0-3	14-25	24-26	17-25	NA	NA	55-76	1:30	3200
60	KOR	28-Jun-2014	KOR-NED	2-3	31-29	16-25	25-23	30-32	14-16	116-125	2:34	2150
61	CZE	28-Jun-2014	CZE-POR	3-1	26-24	25-14	17-25	25-17	NA	93-80	1:50	1900
62	JPN	29-Jun-2014	JPN-GER	3-2	25-22	25-22	14-25	23-25	17-15	104-109	2:21	2070
63	KOR	29-Jun-2014	KOR-NED	2-3	21-25	27-25	25-18	19-25	9-15	101-108	2:16	2330
64	FRA	29-Jun-2014	FRA-ARG	3-1	25-21	25-22	23-25	25-16	NA	98-84	1:52	2350
65	FIN	04-Jul-2014	FIN-BEL	3-2	19-25	25-22	20-25	27-25	15-12	106-109	2:25	2450
66	AUS	05-Jul-2014	AUS-CAN	3-2	25-27	25-23	25-20	21-25	15-7	111-102	2:11	4000
67	FIN	05-Jul-2014	FIN-BEL	3-2	23-25	29-27	22-25	25-23	15-8	114-108	2:30	2560
68	NED	05-Jul-2014	NED-CZE	3-1	25-15	22-25	25-18	25-18	NA	97-76	1:51	1875
69	POR	05-Jul-2014	POR-KOR	3-0	25-21	25-22	25-19	NA	NA	75-62	1:22	1030
70	AUS	06-Jul-2014	AUS-CAN	3-1	22-25	25-22	25-17	25-18	NA	97-82	1:48	3500
71	NED	06-Jul-2014	NED-CZE	3-0	25-20	25-16	25-21	NA	NA	75-57	1:24	1815
72	POR	06-Jul-2014	POR-KOR	1-3	23-25	23-25	25-18	21-25	NA	92-93	2:03	1350
73	AUS	11-Jul-2014	BEL-FRA	0-3	24-26	21-25	19-25	NA	NA	64-76	1:20	3000
74	AUS	11-Jul-2014	AUS-NED	3-0	25-23	25-12	27-25	NA	NA	77-60	1:22	4300
75	AUS	12-Jul-2014	BEL-NED	3-0	25-17	25-22	25-21	NA	NA	75-60	1:20	4500
76	AUS	12-Jul-2014	FRA-AUS	2-3	20-25	25-22	22-25	25-23	14-16	106-111	1:59	5500
1	PUR	06-Jun-2014	SVK-ESP	3-1	25-13	18-25	25-20	28-26	NA	96-84	1:58	500
2	MEX	06-Jun-2014	TUR-CUB	1-3	18-25	26-24	21-25	31-33	NA	96-107	2:03	1167
3	PUR	06-Jun-2014	PUR-CHN	0-3	20-25	23-25	22-25	NA	NA	65-75	1:30	2000
4	MEX	06-Jun-2014	MEX-TUN	3-0	25-22	25-18	25-22	NA	NA	75-62	1:25	1667
5	MEX	07-Jun-2014	TUN-CUB	1-3	24-26	25-23	19-25	21-25	NA	89-99	1:48	1580
6	PUR	07-Jun-2014	ESP-CHN	0-3	29-31	18-25	23-25	NA	NA	70-81	1:35	450
7	MEX	07-Jun-2014	MEX-TUR	3-2	23-25	31-29	16-25	27-25	19-17	116-121	2:34	2109
8	PUR	07-Jun-2014	PUR-SVK	3-2	22-25	25-21	25-19	19-25	15-10	106-100	2:27	2250
9	MEX	08-Jun-2014	TUR-TUN	3-1	25-18	25-20	15-25	25-22	NA	90-85	1:33	2567
10	PUR	08-Jun-2014	CHN-SVK	3-1	23-25	25-20	25-22	25-18	NA	98-85	1:59	800
11	MEX	08-Jun-2014	MEX-CUB	0-3	21-25	21-25	22-25	NA	NA	64-75	1:20	3645
12	PUR	08-Jun-2014	PUR-ESP	2-3	24-26	25-18	20-25	25-21	17-19	111-109	2:37	2750
13	TUN	13-Jun-2014	TUN-TUR	1-3	25-16	17-25	18-25	19-25	NA	79-91	1:38	1110
14	SVK	13-Jun-2014	SVK-PUR	3-1	25-21	25-22	24-26	25-19	NA	99-88	2:06	2450
15	TUN	13-Jun-2014	MEX-CUB	0-3	23-25	16-25	20-25	NA	NA	59-75	1:14	500
16	SVK	13-Jun-2014	CHN-ESP	3-2	22-25	25-19	22-25	25-20	16-14	110-103	2:29	1000
17	SVK	14-Jun-2014	CHN-SVK	0-3	20-25	23-25	20-25	NA	NA	63-75	1:23	2580
18	TUN	14-Jun-2014	TUN-CUB	0-3	21-25	20-25	23-25	NA	NA	64-75	1:16	1670
19	SVK	14-Jun-2014	ESP-PUR	2-3	22-25	25-20	25-20	20-25	13-15	105-105	2:23	1050
20	TUN	14-Jun-2014	MEX-TUR	0-3	22-25	18-25	27-29	NA	NA	67-79	1:28	600
21	SVK	15-Jun-2014	ESP-SVK	3-2	27-29	25-21	22-25	25-17	15-10	114-102	2:25	2700
22	TUN	15-Jun-2014	TUR-CUB	3-1	33-35	25-14	25-17	25-19	NA	108-85	1:54	500
23	SVK	15-Jun-2014	PUR-CHN	0-3	28-30	18-25	20-25	NA	NA	66-80	1:36	400
24	TUN	15-Jun-2014	TUN-MEX	3-2	25-23	25-23	21-25	21-25	15-13	107-109	2:02	700
25	TUR	28-Jun-2014	CUB-CHN	3-2	27-25	22-25	32-34	25-22	15-13	121-119	2:24	1130
26	TUR	28-Jun-2014	TUR-SVK	3-0	25-22	25-21	26-24	NA	NA	76-67	1:32	2110
27	TUR	29-Jun-2014	CHN-SVK	3-1	21-25	39-37	25-23	25-19	NA	110-104	2:09	800
28	TUR	29-Jun-2014	TUR-CUB	2-3	26-24	19-25	25-20	21-25	14-16	105-110	2:24	2850

