Game	Host	Date	Teams	Result	Set1	Set2	Set3	Set4	Set5	Points	Time	Audience
1	BRA	23-May-2014	BRA-ITA	1-3	19-25	25-27	25-22	21-25	NA	90-99	2:10	7900
2	BRA	24-May-2014	BRA-ITA	1-3	17-25	26-24	23-25	20-25	NA	86-99	2:03	8000
3	BUL	23-May-2014	BUL-USA	2-3	25-19	25-22	25-27	19-25	12-15	106-108	2:36	5900
4	BUL	24-May-2014	BUL-USA	1-3	25-19	22-25	25-27	17-25	NA	89-96	2:07	5900
5	BRA	29-May-2014	BRA-POL	3-0	25-23	29-27	25-19	NA	NA	79-69	1:38	6000
6	BRA	30-May-2014	BRA-POL	0-3	24-26	26-28	21-25	NA	NA	71-79	1:45	6000
7	SRB	30-May-2014	SRB-RUS	3-2	25-20	25-17	22-25	19-25	15-13	106-100	2:15	6250
8	ITA	30-May-2014	ITA-IRI	3-0	25-19	25-22	25-23	NA	NA	75-64	1:27	6150
9	ITA	01-Jun-2014	ITA-IRI	3-0	27-25	25-18	25-22	NA	NA	77-65	1:37	6000
10	SRB	31-May-2014	SRB-RUS	3-1	21-25	25-16	25-18	25-20	NA	96-79	1:53	6200
11	BRA	06-Jun-2014	BRA-IRI	3-2	25-23	28-30	26-28	25-23	15-13	119-117	2:50	2879
12	ITA	06-Jun-2014	ITA-POL	3-1	25-22	20-25	25-23	25-20	NA	95-90	2:13	4900
13	USA	06-Jun-2014	USA-RUS	3-2	25-17	27-25	20-25	25-27	15-12	112-106	2:28	4500
14	BRA	07-Jun-2014	BRA-IRI	0-3	18-25	21-25	22-25	NA	NA	61-75	1:34	10043
15	BUL	07-Jun-2014	BUL-SRB	0-3	26-28	18-25	13-25	NA	NA	57-78	1:24	9850
16	USA	07-Jun-2014	USA-RUS	3-0	25-19	25-23	25-17	NA	NA	75-59	1:33	5000
17	BUL	08-Jun-2014	BUL-SRB	2-3	18-25	21-25	25-20	25-22	11-15	100-107	2:23	9400
18	ITA	08-Jun-2014	ITA-POL	3-1	25-21	25-20	15-25	25-17	NA	90-83	2:07	11000
19	IRI	13-Jun-2014	IRI-BRA	3-2	18-25	27-25	20-25	25-17	15-9	105-101	2:23	12000
20	USA	13-Jun-2014	USA-SRB	3-0	30-28	25-20	25-16	NA	NA	80-64	1:41	3230
21	POL	13-Jun-2014	POL-ITA	3-2	25-23	24-26	26-24	25-27	15-10	115-110	2:50	11200
22	RUS	14-Jun-2014	RUS-BUL	3-0	25-18	25-22	25-15	NA	NA	75-55	1:25	6060
23	USA	14-Jun-2014	USA-SRB	3-2	25-22	25-12	26-28	23-25	15-13	114-100	2:32	3300
24	RUS	15-Jun-2014	RUS-BUL	3-0	25-20	25-21	25-23	NA	NA	75-64	1:33	5510
25	IRI	15-Jun-2014	IRI-BRA	2-3	19-25	16-25	25-23	25-23	10-15	95-111	2:25	12000
26	POL	15-Jun-2014	POL-ITA	3-1	25-22	25-23	23-25	25-15	NA	98-85	2:15	12000
27	RUS	20-Jun-2014	RUS-SRB	3-0	37-35	25-15	25-16	NA	NA	87-66	1:39	5050
