Game	Host	Date	Teams	Result	Set1	Set2	Set3	Set4	Set5	Points	Time	Audience
1	POL	30-Aug-2014	POL-SRB	3-0	25-19	25-18	25-18	NA	NA	75-55	01:23	61500
2	POL	31-Aug-2014	ITA-IRI	1-3	16-25	25-23	21-25	22-25	NA	84-98	02:04	6900
3	POL	31-Aug-2014	VEN-ARG	0-3	23-25	17-25	19-25	NA	NA	59-75	01:19	2351
4	POL	31-Aug-2014	BEL-USA	2-3	21-25	25-17	16-25	25-21	11-15	98-103	02:15	4100
5	POL	31-Aug-2014	CMR-AUS	0-3	22-25	15-25	18-25	NA	NA	55-75	01:15	2201
6	POL	31-Aug-2014	PUR-FRA	0-3	23-25	22-25	24-26	NA	NA	69-76	01:27	3900
7	POL	01-Sep-2014	BRA-GER	3-0	25-21	25-19	25-17	NA	NA	75-57	01:19	6300
8	POL	01-Sep-2014	RUS-CAN	3-0	25-21	25-19	25-21	NA	NA	75-61	01:29	4500
9	POL	01-Sep-2014	FIN-CUB	3-2	18-25	21-25	27-25	25-23	15-12	106-110	02:03	2000
10	POL	01-Sep-2014	MEX-BUL	0-3	16-25	17-25	21-25	NA	NA	54-75	01:15	3000
11	POL	01-Sep-2014	KOR-TUN	3-1	24-26	26-24	25-21	25-18	NA	100-89	01:56	1750
12	POL	01-Sep-2014	CHN-EGY	3-1	25-20	25-20	23-25	33-31	NA	106-96	01:50	3000
13	POL	02-Sep-2014	ARG-SRB	1-3	17-25	25-20	21-25	21-25	NA	84-95	01:49	3786
14	POL	02-Sep-2014	USA-IRI	2-3	23-25	19-25	25-19	25-18	15-17	107-104	02:29	3150
15	POL	02-Sep-2014	VEN-CMR	3-1	25-22	25-21	31-33	25-14	NA	106-90	02:05	2264
16	POL	02-Sep-2014	BEL-PUR	3-0	25-19	25-17	25-20	NA	NA	75-56	01:24	5700
17	POL	02-Sep-2014	AUS-POL	0-3	17-25	19-25	22-25	NA	NA	58-75	01:17	5263
18	POL	02-Sep-2014	FRA-ITA	2-3	25-20	25-20	23-25	13-25	12-15	98-105	02:05	11150
19	POL	03-Sep-2014	CUB-GER	0-3	16-25	21-25	19-25	NA	NA	56-75	01:16	2000
20	POL	03-Sep-2014	BUL-CAN	2-3	25-17	17-25	25-20	24-26	8-15	99-103	02:14	3500
21	POL	03-Sep-2014	FIN-KOR	3-0	25-22	26-24	25-15	NA	NA	76-61	01:21	3000
22	POL	03-Sep-2014	MEX-CHN	1-3	25-20	19-25	20-25	20-25	NA	84-95	01:42	2200
23	POL	03-Sep-2014	TUN-BRA	0-3	18-25	10-25	17-25	NA	NA	45-75	01:09	2000
24	POL	03-Sep-2014	EGY-RUS	0-3	22-25	15-25	15-25	NA	NA	52-75	01:08	4500
25	POL	04-Sep-2014	CMR-ARG	0-3	17-25	18-25	23-25	NA	NA	58-75	01:19	2154
26	POL	04-Sep-2014	PUR-USA	0-3	15-25	8-25	20-25	NA	NA	43-75	01:21	2900
