Game	Host	Date	Teams	Result	Set1	Set2	Set3	Set4	Set5	Points	Time	Audience
27	FRA	12-Jun-2010	FRA-SRB	0-3	20-25	21-25	21-25	NA	NA	62-75	1:19	4250
28	CUB	12-Jun-2010	CUB-GER	3-1	25-22	25-23	21-25	25-17	NA	96-87	1:54	9800
29	ARG	12-Jun-2010	ARG-POL	2-3	25-22	22-25	25-20	23-25	12-15	107-107	2:30	7200
30	BRA	13-Jun-2010	BRA-NED	3-1	25-14	25-27	25-18	25-19	NA	100-78	1:58	12000
31	KOR	13-Jun-2010	KOR-BUL	0-3	22-25	21-25	22-25	NA	NA	65-75	1:29	2900
32	ITA	13-Jun-2010	ITA-CHN	3-0	25-15	25-22	25-22	NA	NA	75-59	1:16	3580
33	RUS	18-Jun-2010	RUS-FIN	3-0	25-16	25-21	25-18	NA	NA	75-55	1:24	4640
34	USA	18-Jun-2010	USA-EGY	3-1	25-19	25-15	14-25	25-21	NA	89-80	1:47	2986
35	ITA	18-Jun-2010	ITA-SRB	2-3	25-20	19-25	16-25	25-12	12-15	97-97	2:00	2200
36	FRA	18-Jun-2010	FRA-CHN	3-0	25-20	25-18	27-25	NA	NA	77-63	1:25	3932
37	CUB	18-Jun-2010	CUB-POL	3-2	19-25	25-16	17-25	25-23	15-10	101-99	2:21	8000
38	ARG	18-Jun-2010	ARG-GER	0-3	20-25	20-25	22-25	NA	NA	62-75	1:33	6000
39	BRA	18-Jun-2010	BRA-KOR	3-1	23-25	25-14	25-20	25-21	NA	98-80	1:49	10000
40	NED	19-Jun-2010	NED-BUL	0-3	19-25	22-25	23-25	NA	NA	64-75	1:17	2090
41	RUS	19-Jun-2010	RUS-FIN	3-1	25-18	25-16	18-25	25-18	NA	93-77	1:47	4310
42	USA	19-Jun-2010	USA-EGY	3-1	25-20	25-22	11-25	25-14	NA	86-81	1:46	3132
43	FRA	19-Jun-2010	FRA-CHN	1-3	25-16	22-25	22-25	22-25	NA	91-91	1:51	3280
44	CUB	19-Jun-2010	CUB-POL	0-3	25-27	23-25	12-25	NA	NA	60-77	1:25	12000
45	ARG	19-Jun-2010	ARG-GER	1-3	32-34	18-25	25-18	28-30	NA	103-107	2:12	6000
46	BRA	19-Jun-2010	BRA-KOR	3-0	25-19	25-15	25-19	NA	NA	75-53	1:13	11000
47	NED	20-Jun-2010	NED-BUL	0-3	21-25	20-25	22-25	NA	NA	63-75	1:20	3050
48	ITA	20-Jun-2010	ITA-SRB	3-2	21-25	25-20	25-18	20-25	15-13	106-101	2:03	3300
49	EGY	25-Jun-2010	EGY-RUS	0-3	18-25	18-25	16-25	NA	NA	52-75	1:14	4800
50	GER	25-Jun-2010	GER-CUB	2-3	23-25	25-17	24-26	25-23	13-15	110-106	2:14	2000
51	FRA	25-Jun-2010	FRA-ITA	3-2	19-25	25-19	25-20	17-25	15-13	101-102	2:10	7500
52	GER	26-Jun-2010	GER-CUB	1-3	21-25	24-26	25-17	22-25	NA	92-93	1:53	2200
53	POL	26-Jun-2010	POL-ARG	3-1	25-19	26-28	27-25	25-22	NA	103-94	2:13	5184
54	CHN	26-Jun-2010	CHN-SRB	1-3	25-23	22-25	16-25	16-25	NA	79-98	1:35	3700
55	NED	26-Jun-2010	NED-BRA	1-3	20-25	25-23	24-26	16-25	NA	85-99	1:58	4600
56	BUL	26-Jun-2010	BUL-KOR	3-0	25-23	25-20	25-16	NA	NA	75-59	1:24	3650
57	EGY	26-Jun-2010	EGY-RUS	0-3	17-25	12-25	18-25	NA	NA	47-75	1:15	5460
58	NED	27-Jun-2010	NED-BRA	2-3	25-19	25-23	22-25	17-25	10-15	99-107	2:18	3890
59	CHN	27-Jun-2010	CHN-SRB	2-3	25-21	23-25	17-25	25-21	11-15	101-107	1:55	5000
60	FRA	27-Jun-2010	FRA-ITA	1-3	19-25	22-25	25-23	23-25	NA	89-98	2:02	4600
61	POL	27-Jun-2010	POL-ARG	3-1	22-25	25-17	25-20	25-21	NA	97-83	1:59	5500
62	BUL	27-Jun-2010	BUL-KOR	3-1	31-29	25-21	22-25	25-23	NA	103-98	2:14	3100
63	USA	25-Jun-2010	USA-FIN	2-3	22-25	25-14	20-25	25-19	11-15	103-98	2:08	3500
64	USA	26-Jun-2010	USA-FIN	3-1	25-21	18-25	25-19	25-23	NA	93-88	1:55	4000
65	GER	30-Jun-2010	GER-ARG	3-1	25-18	17-25	25-15	25-17	NA	92-75	1:50	3900
66	GER	01-Jul-2010	GER-ARG	3-1	25-19	23-25	25-21	25-19	NA	98-84	1:55	3150
67	SRB	02-Jul-2010	SRB-FRA	3-1	16-25	25-20	25-23	25-23	NA	91-91	1:50	5300
68	FIN	02-Jul-2010	FIN-RUS	0-3	20-25	19-25	14-25	NA	NA	53-75	1:16	4925
69	CHN	02-Jul-2010	CHN-ITA	0-3	20-25	22-25	20-25	NA	NA	62-75	1:22	6300
70	EGY	02-Jul-2010	EGY-USA	2-3	25-20	29-31	17-25	25-21	12-15	108-112	2:20	5460
71	POL	03-Jul-2010	POL-CUB	0-3	21-25	22-25	24-26	NA	NA	67-76	1:32	12693
72	KOR	03-Jul-2010	KOR-BRA	1-3	25-27	21-25	25-22	13-25	NA	84-99	2:01	5200
73	FIN	03-Jul-2010	FIN-RUS	3-1	25-18	18-25	25-23	25-19	NA	93-85	1:54	5020
74	BUL	03-Jul-2010	BUL-NED	3-0	25-9	25-17	27-25	NA	NA	77-51	1:26	5200
75	CHN	03-Jul-2010	CHN-ITA	0-3	17-25	25-27	21-25	NA	NA	63-77	1:30	6800
76	EGY	03-Jul-2010	EGY-USA	2-3	25-20	18-25	25-19	22-25	16-18	106-107	2:20	6750
77	KOR	04-Jul-2010	KOR-BRA	1-3	18-25	23-25	25-23	15-25	NA	81-98	2:00	4900
78	POL	04-Jul-2010	POL-CUB	1-3	19-25	22-25	25-22	16-25	NA	82-97	2:01	12782
79	BUL	04-Jul-2010	BUL-NED	3-0	25-22	25-20	32-30	NA	NA	82-72	1:52	5350
80	SRB	04-Jul-2010	SRB-FRA	2-3	23-25	25-18	25-21	20-25	8-15	101-104	2:01	4640
81	SRB	07-Jul-2010	SRB-ITA	1-3	25-23	19-25	22-25	19-25	NA	85-98	1:48	3650
82	EGY	07-Jul-2010	EGY-FIN	0-3	18-25	18-25	14-25	NA	NA	50-75	1:19	5850
83	NED	08-Jul-2010	NED-KOR	3-0	31-29	28-26	25-21	NA	NA	84-76	1:36	1100
84	BUL	08-Jul-2010	BUL-BRA	1-3	22-25	23-25	25-23	24-26	NA	94-99	2:05	7020
85	POL	08-Jul-2010	POL-GER	2-3	21-25	25-20	22-25	25-23	11-15	104-108	2:27	10000
86	EGY	08-Jul-2010	EGY-FIN	3-0	25-23	25-19	25-22	NA	NA	75-64	1:30	4930
87	SRB	08-Jul-2010	SRB-ITA	3-2	21-25	21-25	25-23	25-20	15-6	107-99	2:04	4560
88	ARG	08-Jul-2010	ARG-CUB	2-3	18-25	20-25	32-30	25-23	8-15	103-118	2:23	4300
89	CHN	09-Jul-2010	CHN-FRA	2-3	21-25	22-25	25-22	25-23	14-16	107-111	2:12	5500
90	BUL	09-Jul-2010	BUL-BRA	2-3	21-25	26-24	31-29	22-25	12-15	112-118	2:31	7120
91	USA	09-Jul-2010	USA-RUS	3-0	25-21	27-25	25-23	NA	NA	77-69	1:32	5025
92	NED	09-Jul-2010	NED-KOR	3-1	25-17	23-25	25-18	25-23	NA	98-83	1:51	1500
93	POL	09-Jul-2010	POL-GER	3-1	25-27	26-24	25-21	25-18	NA	101-90	2:11	10000
94	ARG	09-Jul-2010	ARG-CUB	0-3	16-25	24-26	19-25	NA	NA	59-76	1:31	5115
95	USA	10-Jul-2010	USA-RUS	1-3	18-25	25-22	17-25	19-25	NA	79-97	1:51	5450
96	CHN	10-Jul-2010	CHN-FRA	2-3	16-25	25-18	25-19	21-25	8-15	95-102	1:58	7000
97	ARG	21-Jul-2010	ITA-RUS	2-3	14-25	25-22	24-26	25-23	7-15	95-111	2:03	3500
98	ARG	21-Jul-2010	BRA-ARG	3-2	25-17	23-25	25-20	19-25	15-10	107-97	2:12	9200
99	ARG	22-Jul-2010	RUS-CUB	3-2	23-25	25-14	25-20	22-25	15-13	110-97	2:11	3000
100	ARG	22-Jul-2010	SRB-BRA	2-3	25-21	22-25	25-18	20-25	14-16	106-105	2:12	6500
101	ARG	23-Jul-2010	CUB-ITA	3-0	25-17	35-33	25-22	NA	NA	85-72	1:34	4500
102	ARG	23-Jul-2010	ARG-SRB	0-3	19-25	18-25	26-28	NA	NA	63-78	1:20	9700
103	ARG	24-Jul-2010	RUS-SRB	3-0	26-24	25-15	25-20	NA	NA	76-59	1:23	4000
104	ARG	24-Jul-2010	BRA-CUB	3-1	21-25	25-19	25-21	25-20	NA	96-85	1:54	8000
105	ARG	25-Jul-2010	SRB-CUB	3-2	28-30	25-20	22-25	25-22	15-12	115-109	2:03	3500
106	ARG	25-Jul-2010	RUS-BRA	1-3	22-25	22-25	25-16	23-25	NA	92-91	1:58	9200
