Game	Host	Date	Teams	Result	Set1	Set2	Set3	Set4	Set5	Points	Time	Audience
1	BRA	04-Jun-2010	BRA-BUL	3-1	22-25	25-20	26-24	25-23	NA	98-92	2:06	7000
2	RUS	04-Jun-2010	RUS-USA	3-0	25-15	26-24	25-14	NA	NA	76-53	1:25	4504
3	SRB	04-Jun-2010	SRB-CHN	3-0	25-20	25-21	25-20	NA	NA	75-61	1:15	3150
4	ITA	04-Jun-2010	ITA-FRA	3-0	27-25	26-24	25-17	NA	NA	78-66	1:28	4200
5	CUB	04-Jun-2010	CUB-ARG	3-1	25-23	25-20	21-25	25-18	NA	96-86	2:10	12000
6	BRA	05-Jun-2010	BRA-BUL	3-2	24-26	25-19	25-15	22-25	15-9	111-94	2:27	8000
7	KOR	05-Jun-2010	KOR-NED	0-3	23-25	21-25	20-25	NA	NA	64-75	1:19	4380
8	RUS	05-Jun-2010	RUS-USA	3-1	25-14	25-22	21-25	25-21	NA	96-82	1:54	4325
9	ITA	05-Jun-2010	ITA-FRA	3-2	25-22	25-23	29-31	24-26	15-10	118-112	2:01	3100
10	FIN	05-Jun-2010	FIN-EGY	2-3	25-23	24-26	16-25	25-20	13-15	103-109	2:07	2320
11	GER	05-Jun-2010	GER-POL	3-1	23-25	25-18	25-22	26-24	NA	99-89	2:06	3000
12	CUB	05-Jun-2010	CUB-ARG	3-2	32-34	25-23	20-25	25-17	15-13	117-112	2:45	8000
13	KOR	06-Jun-2010	KOR-NED	0-3	18-25	19-25	18-25	NA	NA	55-75	1:11	4450
14	GER	06-Jun-2010	GER-POL	3-0	28-26	30-28	25-18	NA	NA	83-72	1:34	2500
15	FIN	06-Jun-2010	FIN-EGY	3-1	25-22	23-25	25-20	25-19	NA	98-86	1:50	2235
16	SRB	06-Jun-2010	SRB-CHN	3-1	25-18	25-21	22-25	25-14	NA	97-78	1:36	3300
17	FRA	10-Jun-2010	FRA-SRB	0-3	21-25	23-25	23-25	NA	NA	67-75	1:00	4400
18	RUS	11-Jun-2010	RUS-EGY	3-1	26-24	22-25	25-21	25-15	NA	98-85	1:50	4650
19	FIN	11-Jun-2010	FIN-USA	1-3	27-25	18-25	25-27	18-25	NA	88-102	2:12	3940
20	ITA	11-Jun-2010	ITA-CHN	3-0	25-21	25-18	25-18	NA	NA	75-57	1:20	3500
21	CUB	11-Jun-2010	CUB-GER	3-0	26-24	25-18	25-19	NA	NA	76-61	1:25	7500
22	ARG	11-Jun-2010	ARG-POL	1-3	20-25	21-25	25-20	20-25	NA	86-95	2:00	7130
23	BRA	12-Jun-2010	BRA-NED	0-3	24-26	23-25	23-25	NA	NA	70-76	1:35	11348
24	KOR	12-Jun-2010	KOR-BUL	0-3	19-25	19-25	20-25	NA	NA	58-75	1:16	2800
25	RUS	12-Jun-2010	RUS-EGY	3-2	23-25	25-19	25-17	22-25	15-8	110-94	2:08	4780
26	FIN	12-Jun-2010	FIN-USA	1-3	25-18	23-25	21-25	26-28	NA	95-96	2:04	4560
